sno,uni_fk,aqi,co,no2,so2,nh3,latitude,longitude,currency,geohash,drive_in,speed_in,timezone,what3words,city,state,address
772,6142,0,NULL,NULL,NULL,NULL,42.3582,-71.0966,USD,drt2ypj48h47e50g536r,right,mph,EST,jolly.ships.press,Cambridge,Massachusetts,"Massachusetts Institute of Technology, Memorial Drive, Cambridge, MA 02142, United States of America"
773,6143,0,NULL,NULL,NULL,NULL,37.4313,-122.169,USD,9q9hgynvpqws7xwssn9r,right,mph,PST,regard.dive.joke,,California,"Stanford University, 408 Panama Mall, Stanford, Santa Clara County, CA 94305, United States of America"
774,6144,0,NULL,NULL,NULL,NULL,42.3679,-71.1268,USD,drt3j2z4cye4ctrmz2j1,right,mph,EST,influencing.hears.jazzy,Boston,Massachusetts,"Harvard University, Holton Street, Boston, MA 02134-1307, United States of America"
775,6145,0,NULL,NULL,NULL,NULL,51.7587,-1.25567,GBP,gcpn7qmskf3syywwjb2t,left,mph,GMT,newly.sank.tinsel,Oxford,England,"Oxford University Museum of Natural History, Parks Road, Oxford, OX1 3PW, United Kingdom"
776,6146,0,NULL,NULL,NULL,NULL,34.137,-118.125,USD,9q5fpyry9294fn5wnw56,right,mph,PST,deeper.bars.school,Pasadena,California,"California Institute of Technology, San Pasqual Street, Pasadena, CA 91106, United States of America"
777,6147,0,NULL,NULL,NULL,NULL,47.3763,8.54805,CHF,u0qjd88dbn2j9sxyj8dp,right,km/h,CET,trip.gear.identity,,Zurich,"Eidgenössische Technische Hochschule Zürich, Zurich, Bezirk Zürich, Switzerland"
778,6148,0,NULL,NULL,NULL,NULL,52.1999,0.119739,GBP,u120fwxnnjexgssutm31,left,mph,GMT,visits.claps.rating,Cambridge,England,"Fitzwilliam Museum, Trumpington Street, Cambridge, CB2 1RB, United Kingdom"
779,6149,0,NULL,NULL,NULL,NULL,51.5242,-0.133001,GBP,gcpvhgxnhze7ph575usp,left,mph,GMT,author.organ.heads,London,England,"University College London, Burton Place, London, WC1H 9AH, United Kingdom"
780,6150,0,NULL,NULL,NULL,NULL,51.499,-0.175641,GBP,gcpuup055mb7kr96x8vy,left,mph,GMT,horses.fruit.behind,London,England,"Imperial College London, Exhibition Road, London, SW7 2AZ, United Kingdom"
781,6151,0,NULL,NULL,NULL,NULL,41.7914,-87.6008,USD,dp3twxgh83h2xj93tsxj,right,mph,CST,timing.kind.remind,Chicago,Illinois,"The University of Chicago, 5801 South Ellis Avenue, Chicago, IL 60637, United States of America"
782,6152,0,NULL,NULL,NULL,NULL,1.34841,103.683,SGD,w21xxm7x53ymre1dcnvn,left,km/h,+08,humid.ships.script,,,"Nanyang Technological University, Pioneer Road North, Singapore 640849, Singapore"
783,6153,0,NULL,NULL,NULL,NULL,1.29611,103.78,SGD,w21z3efn6srvq3u5g03c,left,km/h,+08,reds.peanut.task,,,"National University of Singapore, Singapore"
784,6154,0,NULL,NULL,NULL,NULL,40.3387,-74.6584,USD,dr4vmp7mvfpf4jzmqycu,right,mph,EST,asking.budget.seated,,"New Jersey","Princeton University, Peck Place, Princeton, NJ 08540, United States of America"
785,6155,0,NULL,NULL,NULL,NULL,42.4506,-76.4784,USD,dr997xyhshhk77fbnrgu,right,mph,EST,spark.volume.fleet,Ithaca,"New York","Cornell University, Ithaca, NY 14850, United States of America"
786,6156,0,NULL,NULL,NULL,NULL,39.9493,-75.1896,USD,dr4e3089f23ufd095n3u,right,mph,EST,gosh.trim.torch,Philadelphia,Pennsylvania,"University of Pennsylvania, Annenberg Plaza, Philadelphia, PA 19104, United States of America"
787,6157,0,NULL,NULL,NULL,NULL,40.0023,116.321,CNY,wx4ewfnq4zkmr9pzde5j,right,km/h,CST,gravest.curtail.blizzard,"Haidian District",Beijing,"Tsinghua University, 30 Shuangqing Road, Wudaokou, 100084 Beijing, China"
788,6158,0,NULL,NULL,NULL,NULL,41.2571,-72.9897,USD,drk4ends1qtdj1dz8c74,right,mph,EST,song.axed.lions,,Connecticut,"Yale University, West Haven, Connecticut, United States of America"
789,6159,0,NULL,NULL,NULL,NULL,40.8078,-73.9616,USD,dr72huyf2y7d3mk1bek6,right,mph,EST,noisy.tribes.hugs,"New York","New York","Columbia University, Broadway, New York, NY 10027, United States of America"
790,6160,0,NULL,NULL,NULL,NULL,46.5213,6.63334,CHF,u0k8wuyq208z9s66565g,right,km/h,CET,sports.amuses.prefix,,Vaud,"Lausanne District, Switzerland"
791,6161,0,NULL,NULL,NULL,NULL,55.9441,-3.18837,GBP,gcvwr2q3ce8qgw55v99j,left,mph,GMT,letter.shrimp.engine,"City of Edinburgh",Scotland,"University of Edinburgh, Ascham Court, City of Edinburgh, EH8 9NT, United Kingdom"
792,6162,0,NULL,NULL,NULL,NULL,42.2942,-83.71,USD,dps2x5kjwsyyvpcnx57e,right,mph,EST,flock.trips.eaten,"Ann Arbor",Michigan,"University of Michigan, 500 South State Street, Ann Arbor, MI 48109, United States of America"
793,6163,0,NULL,NULL,NULL,NULL,39.9917,116.304,CNY,wx4ew83bw5grzz4j2bdf,right,km/h,CST,scanning.panic.among,"Haidian District",Beijing,"Peking University, 5号 颐和园路, 稻香园北社区, Beijing, China"
794,6164,0,NULL,NULL,NULL,NULL,35.902,139.936,JPY,xn7s0rf2nqbpd4jvwvur,left,km/h,JST,void.cheesy.waxes,Kashiwa,"Chiba Prefecture","The University of Tokyo Kashiwa Campus, Todai Higashi Uradori, 中十余二, Kashiwa, Chiba Prefecture 277-8583, Japan"
795,6165,0,NULL,NULL,NULL,NULL,39.3302,-76.6219,USD,dqcx8rvej3hgp83ux14n,right,mph,EST,dared.encounter.awards,Baltimore,Maryland,"Johns Hopkins University - Homewood Campus, 3400 North Charles Street, Baltimore, MD 21218, United States of America"
796,6166,0,NULL,NULL,NULL,NULL,36.0002,-78.9442,USD,dnrug9ds457vd6f0b0k8,right,mph,EST,lands.large.salad,Durham,"North Carolina","Duke University, West Main Street, Durham, NC 27708, United States of America"
797,6167,0,NULL,NULL,NULL,NULL,22.2833,114.138,HKD,wecnv289evyf53kp1tdn,left,km/h,HKT,flagging.fake.triads,"Hong Kong Island","Hong Kong","HKU Main Library, University Street, Shek Tong Tsui, 000000 Hong Kong, China"
798,6168,0,NULL,NULL,NULL,NULL,53.474,-2.23512,GBP,gcw2jnskmvndzptd1j8z,left,mph,GMT,candy.finds.surely,Manchester,England,"Pendulum Hotel, Sackville Street, Manchester, M1 3BB, United Kingdom"
799,6169,0,NULL,NULL,NULL,NULL,37.8722,-122.26,USD,9q9p3ymjm26yw1drc0mf,right,mph,PST,cook.jabs.pulled,,California,"University of California, Berkeley, Alameda County, California, United States of America"
800,6170,0,NULL,NULL,NULL,NULL,-35.2812,149.117,AUD,r3dp31r80c1k84t560wz,left,km/h,AEDT,agents.filled.prop,Canberra,,"Australian Capital Territory, Australian National University, Balmain Lane, Acton 2601, Australia"
801,6171,0,NULL,NULL,NULL,NULL,43.6635,-79.3978,CAD,dpz83k8q4572k2vhsudc,right,km/h,EST,safest.relaxed.infuses,Toronto,Ontario,"University of Toronto, Grenville Street, Toronto, ON M4Y 1X5, Canada"
802,6172,0,NULL,NULL,NULL,NULL,42.0551,-87.6758,USD,dp3xhzukv9bv46p5x2e1,right,mph,CST,cherry.likes.commented,,Illinois,"Northwestern University, 633 Clark Street, Evanston, IL 60208, United States of America"
803,6173,0,NULL,NULL,NULL,NULL,22.3376,114.264,HKD,wecr04kmfsdf8gs5fg1t,left,km/h,HKT,cringes.professes.films,,,"The Hong Kong University of Science and Technology, Hong Kong"
804,6174,0,NULL,NULL,NULL,NULL,51.5085,-0.12574,GBP,gcpvj0u6yjcmwxz8bn43,left,mph,GMT,thing.then.link,,England,"London, United Kingdom"
805,6175,0,NULL,NULL,NULL,NULL,35.0203,135.774,JPY,xn0x1x5xvjeety8ugtf3,left,km/h,JST,visits.voice.crunchy,Kyoto,"Kyoto Prefecture","Kyoto University, Konoe dori, Sakyo Ward, Kyoto, Kyoto Prefecture 606-8391, Japan"
806,6176,0,NULL,NULL,NULL,NULL,45.5069,-73.5791,CAD,f25dvsm342665vprfdb5,right,km/h,EST,secretly.glitter.sofa,Montreal,Quebec,"McGill University, Avenue des Pins, Montreal, QC H2W 1S4, Canada"
